date,"Personal Income in MDC, FL"
1969-01-01,5166730.0
1970-01-01,5873893.0
1971-01-01,6482781.0
1972-01-01,7372479.0
1973-01-01,8435670.0
1974-01-01,9338516.0
1975-01-01,9948188.0
1976-01-01,10661954.0
1977-01-01,11684776.0
1978-01-01,13158675.0
1979-01-01,14893702.0
1980-01-01,17196814.0
1981-01-01,19542180.0
1982-01-01,20719613.0
1983-01-01,22206829.0
1984-01-01,24064743.0
1985-01-01,25655711.0
1986-01-01,27073669.0
1987-01-01,29060096.0
1988-01-01,31220350.0
1989-01-01,33995482.0
1990-01-01,35643712.0
1991-01-01,36947561.0
1992-01-01,38615685.0
1993-01-01,40528697.0
1994-01-01,42109313.0
1995-01-01,44826755.0
1996-01-01,47269681.0
1997-01-01,49329210.0
1998-01-01,52739379.0
1999-01-01,55460667.0
2000-01-01,60135660.0
2001-01-01,64702089.0
2002-01-01,67107084.0
2003-01-01,69240316.0
2004-01-01,74881769.0
2005-01-01,81381738.0
2006-01-01,89240479.0
2007-01-01,92614163.0
2008-01-01,93033991.0
2009-01-01,85787430.0
2010-01-01,95805838.0
2011-01-01,100148724.0
2012-01-01,103220841.0
2013-01-01,103504316.0
2014-01-01,111907652.0
2015-01-01,119434694.0
2016-01-01,119576094.0
2017-01-01,131241442.0
2018-01-01,138138976.0
